,Game,AC,AS,EW,WY,Average
2,7 Wonders,7.5,7.0,7.0,7.0,7.125
25,Brass: Birmingham,8.0,8.0,7.0,8.0,7.75
26,Brian Boru: High King of Ireland,8.0,8.0,8.0,9.0,8.25
30,Catan,6.5,7.0,7.0,6.0,6.625
40,Clank!: A Deck-Building Adventure,8.5,8.0,7.0,9.0,8.125
59,Dominion,7.5,7.0,7.0,6.0,6.875
62,Eldritch Horror,7.5,3.0,5.0,4.0,4.875
64,Everdell,7.0,6.0,5.0,3.0,5.25
104,Robinson Crusoe: Adventures on the Cursed Island,8.0,7.0,9.0,5.0,7.25
110,Skull King,8.0,8.0,8.0,8.0,8.0
114,Spirit Island,10.0,9.0,9.0,10.0,9.5
129,The Mind,7.0,6.0,8.0,8.0,7.25
