,Game,AC,AS,EW,WY,Average
0,3 to 4 Headed Monster,,,,,
1,6 nimmt!,,,,,
2,7 Wonders,7.5,7.0,7.0,7.0,7.125
3,7 Wonders (Second Edition),,,,7.0,7.0
4,7 Wonders Duel,,,,,
5,Aeon's End: War Eternal,,,,8.0,8.0
6,"Air, Land, and Sea",,,6.0,6.0,6.0
7,Apples to Apples,,,,3.0,3.0
8,Ark Nova,,,,,
9,Arkham Horror: The Card Game,,,,,
10,Ascension: Deckbuilding Game,6.5,,,,6.5
11,Astro Knights,,,,,
12,Azul,,,7.0,8.0,7.5
13,BANG!,,,7.0,7.0,7.0
14,BANG! The Bullet!,6.5,,,,6.5
15,BANG! The Dice Game,,,,,
16,BattleCON: War of Indines,,,,4.0,4.0
17,Betrayal at House on the Hill,7.5,,,2.0,4.75
18,Betrayal at House on the Hill: 3rd Edition,,,,,
19,Betrayal at House on the Hill: Widow's Walk,7.5,,,,7.5
20,Between Two Castles of Mad King Ludwig,,,,,
21,Between Two Cities,7.0,,,7.0,7.0
22,Blokus,,,6.0,5.0,5.5
23,Blokus Trigon,,6.0,,5.0,5.5
24,Blue Lagoon,,,,,
25,Brass: Birmingham,8.0,8.0,7.0,8.0,7.75
26,Brian Boru: High King of Ireland,8.0,8.0,8.0,9.0,8.25
27,Bunny Kingdom,,,,,
28,Carcassonne,,,6.0,5.0,5.5
29,Castles of Mad King Ludwig,,,,,
30,Catan,6.5,7.0,7.0,6.0,6.625
31,Catan: Seafarers,7.0,,,,7.0
32,Century: Golem Edition,,,,,
33,Cheating Moth,,,,,
34,Chess,,,,3.0,3.0
35,Chinatown,,6.0,7.0,6.0,6.333333333333333
36,Citadels,,,7.0,,7.0
37,Citadels,7.0,,,,7.0
38,Clank! Expeditions: Gold and Silk,,,,,
39,Clank! In! Space!: A Deck-Building Adventure,8.0,,7.0,7.0,7.333333333333333
40,Clank!: A Deck-Building Adventure,8.5,8.0,7.0,9.0,8.125
41,Clank!: Legacy – Acquisitions Incorporated,,,,,
42,Clank!: Sunken Treasures,9.0,,,9.0,9.0
43,Clank!: The Mummy's Curse,8.5,,,,8.5
44,Corrosion,,,5.0,7.0,6.0
45,Cosmic Encounter,,,,,
46,Cosmic Encounter: 42nd Anniversary Edition,,,,9.0,9.0
47,Cosmic Encounter: Cosmic Alliance,,,,,
48,Cosmic Encounter: Cosmic Conflict,,,,,
49,Cosmic Encounter: Cosmic Dominion,,,,,
50,Cosmic Encounter: Cosmic Eons,,,,,
51,Cosmic Encounter: Cosmic Incursion,,,,,
52,Cosmic Encounter: Cosmic Storm,,,,,
53,Coup,,,4.0,3.0,3.5
54,Cubitos,,,,,
55,Danmaku!!,,,,,
56,Dead Reckoning,,,,,
57,Deep Rock Galactic: The Board Game,,,,4.0,4.0
58,Dixit,6.5,,7.0,3.0,5.5
59,Dominion,7.5,7.0,7.0,6.0,6.875
60,Dune: Imperium,9.0,,,6.0,7.5
61,Dwellings of Eldervale,,,,,
62,Eldritch Horror,7.5,3.0,5.0,4.0,4.875
63,Epic Spell Wars of the Battle Wizards: Duel at Mt. Skullzfyre,6.5,,,6.0,6.25
64,Everdell,7.0,6.0,5.0,3.0,5.25
65,Exploding Kittens,,,6.0,2.0,4.0
66,Five Tribes,7.0,,,7.0,7.0
67,Forgotten Waters,,,,,
68,Fort,,,,,
69,Foundations of Rome,,,,,
70,Furnace,,,,,
71,Fury of Dracula (Third/Fourth Edition),7.5,,,,7.5
72,Gaia Project,,,,,
73,Go,,,,,
74,Hanabi,,,5.0,,5.0
75,Here to Slay,6.0,,,,6.0
76,High Society,,,,,
77,Inis,,,,,
78,K2,,,7.0,7.0,7.0
79,Legends of the Three Kingdoms,,,7.0,8.0,7.5
80,Libertalia: Winds of Galecrest,,,,,
81,Llamas Unleashed,6.0,,,,6.0
82,Lost Ruins of Arnak,,,,,
83,Machi Koro,6.0,,6.0,5.0,5.666666666666667
84,Mansions of Madness: Second Edition,,,,,
85,Melee,,,,,
86,Monopoly,,2.0,,,2.0
87,Monopoly City,,,,5.0,5.0
88,Monopoly Deal,,,6.0,5.0,5.5
89,Monopoly Deal Card Game,6.0,,,,6.0
